新款	新款，读音xīn kuǎn，汉语词语，指新的款式。
普洱茶	普洱茶（学名：Camellia sinensis var. assamica），大乔木，高达16米，嫩枝有微毛，顶芽有白柔毛。叶薄革质，椭圆形，上面干后褐绿色，略有光泽，下面浅绿色，中肋上有柔毛，其余被短柔毛，老叶变秃；侧脉8-9对，在上面明显。花腋生，被柔毛。苞片2，早落。萼片5，近圆形，外面无毛。花瓣6-7片，倒卵形，无毛。雄蕊长8-10毫米，离生，无毛。子房3室，被茸毛；花柱长8毫米，先端3裂。蒴果扁三角球形。种子每室1个，近圆形，直径1厘米。（标本信息来自中国植物志）普洱茶主要产于云南省的西双版纳、临沧、普洱等地区。普洱茶讲究冲泡技巧和品饮艺术，其饮用方法丰富，既可清饮，也可混饮。普洱茶茶汤橙黄浓厚，香气高锐持久，香型独特，滋味浓醇，经久耐泡。（概述图参考：）
浅口	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
ol	OL是英文“Office Lady”的缩写，中文解释为“白领女性”或者“办公室女职员”，通常指高学历、高压力、高收入的职业女性，OL打扮衣着入时，且具备一定办事能力，美丽与智慧兼备。
地中海	地中海 （拼音：dì zhōng hǎi ，英语：Mediterranean Sea，法语：Méditerranée，西班牙语：Mediterráneo，意大利语：Mediterraneo，希腊语：Μεσογείου，阿拉伯语：البحر الأبيض المتوسط ），是欧洲、非洲和亚洲大陆之间的一块海域。由北面的欧洲大陆，南面的非洲大陆和东面的亚洲大陆包围着，西面通过直布罗陀海峡与大西洋相连。东西共长约4000千米，南北最宽处约为1800千米，面积（包括马尔马拉海，但不包括黑海）约为251.2万平方千米，是世界最大的陆间海。地中海以亚平宁半岛、西西里岛和突尼斯之间的突尼斯海峡为界，分东、西两部分。地中海平均深度1450米，有记录的最深点是希腊南面的爱奥尼亚海盆，为海平面下5,121米。地中海盐度较高，最高达39.5‰ 。地中海是世界上最古老的海之一，历史比大西洋还要古老。地中海沿岸还
婴儿床	婴儿床是指给婴幼儿使用的床。现在的婴儿床款式多种多样，功能和价格也是相差也很大，选择时要注意安全和实用相结合的原则。婴儿床在使用中也存在一些安全隐患，父母应给予重视，及时排除隐患。婴儿床油漆是否符合安全标准，关键要看是否含有重金属和甲醛等有害成分。
美国进口	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
艺术	艺术是一个汉语词汇，拼音是yì shù。意思是指比现实有典型性的社会意识形态。艺术可以是宏观概念也可以是个体现象，是通过捕捉与挖掘、感受与分析、整合与运用（形体的组合过程、生物的生命过程、故事的发展过程）等方式对客观或主观对象进行感知、意识、思维、操作、表达等活动的过程，或是通过感受（看、听、嗅、触碰）得到的形式展示出来的阶段性结果。表达形式：语言、声音、文字、绘画、眼神、呼吸、肢体等。
年货	在春节置办年货是中国寻常百姓家不可或缺的头等大事，包括吃的、穿的、戴的、用的、耍的、供的、送的、干的、鲜的、生的、熟的，统名之曰“年货”，而把采购年货的过程称之为“办年货”。
钢带	钢在空气和水中容易生锈，而锌在大气中的腐蚀率仅为钢在大气中腐蚀率的1/15，镀锌钢板就是用微密的镀锌层保护钢板，免受腐蚀。钢带（steel-belt）是指以碳钢制成的输送带作为带式输送机的牵引和运载构件，也可用于捆扎货物；是各类轧钢企业为了适应不同工业部门工业化生产各类金属或机械产品的需要而生产的一种窄而长的钢板。钢带又称带钢，是宽度在1300mm以内，长度根据每卷的大小略有不同。带钢一般成卷供应，具有尺寸精度高、表面质量好、便于加工、节省材料等优点。钢带按所用材质分为普通带钢和优质带钢两类；按加工方法分热轧钢带、冷轧带钢带两种。
洗发水	洗发水，又名香波、洗发露、洗发精或者洗发膏，是目前应用最为广泛的洗发用品，也是最常用的发用化妆品之一。用于洗净附着在头皮和头发上的人体分泌的油脂，汗垢，头皮上脱落的细胞以及外来的灰尘、微生物、定型产品的残留物和不良气味等，保持头皮和头发清洁及头发美观。
运动服	运动服是指专用于体育运动竞赛的服装。广义上还包括从事户外体育活动所穿用的服装。运动服通常是按照运动项目的特定要求设计制作。运动服主要分为田径服、球类服、水上服、冰上服、举重服、摔跤服、体操服、登山服、击剑服9类。
挂饰	挂饰分类按搭配的物体不同，比较多的有吊坠挂饰、手机挂饰、包包挂饰，以及用于家居装饰的一些挂饰。
步鞋	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
哺乳	哺乳指动物产下幼仔以后，用自己乳腺分泌乳汁哺育幼仔的生物现象。乳汁中含有丰富的营养，还有一些抵御疾病的特殊抗体，因此对幼仔的生长发育极其有利。哺乳促进了动物最有效地保护和繁殖后代，是高等动物进化特征之一。猪、牛、羊等具有这种特征的动物，称为哺乳动物。
迪士尼	全球闻名遐迩的迪士尼，全称为The Walt Disney Company，取名自其创始人华特·迪士尼，是总部设在美国伯班克的大型跨国公司，主要业务包括娱乐节目制作，主题公园，玩具，图书，电子游戏和传媒网络。皮克斯动画工作室（PIXAR Animation Studio）、漫威电影公司（Marvel Entertainment Inc）、试金石电影公司（Touchstone Pictures）、米拉麦克斯（Miramax）电影公司、博伟影视公司（Buena Vista Home Entertainment）、好莱坞电影公司（Hollywood Pictures）、ESPN体育，美国广播公司（ABC）都是其旗下的公司（品牌）。迪士尼于2012年11月收购了卢卡斯影业。2018年12月，世界品牌实验室编制的《2018世界品牌500强》揭晓，迪士尼排名第23
客厅家具	客厅家具，指摆放于客厅中家具的统称。客厅家具包括但不限于沙发、茶几、角几、电视柜、地柜、鞋柜、花架、报架、CD架、装饰柜、酒柜等。当今的客厅家具设计，其实是设计一种新的生活、工作、休闲与娱乐的方式。人们讲究客厅家具的色调与居室装修协调，同时能体现主人的性情和爱好。客厅家具趋于简约、清瘦、实用，一些客厅家具甚至用纸板制作。其产品设计利用力学原理，做成的家具有足够的强度，同时在家具表面涂上保护漆，经过特殊处理，解决了不耐压和怕水的两大弱点，使纸制的家具具有一定的防潮、防水、防霉、防虫蛀等功能。
产后	产后指的是孕妇分娩以后的一段时间。生产后，女性身体流失了大量养分，所以在产后的这一段时间内，饮食、护理、恢复对女性来说都非常重要。
女裤	女裤（knicker），妇女穿的裤子，在腰右面边上开衩。一般男人的门襟比女人的门襟要长一些。
果盘	从水果的色泽、形状、口味、营养价值、外观完美度等多方面对水果进行选择。选择的几种水果组合在一起，搭配应协调。最重要的一点是水果本身应是熟的、新鲜的、卫生的。同时注意制作拼盘的水果不能太熟，否则会影响加工和摆放。
绿茶	绿茶（Green Tea），是中国的主要茶类之一，是指采取茶树的新叶或芽，未经发酵，经杀青、整形、烘干等工艺而制作的饮品。其制成品的色泽和冲泡后的茶汤较多的保存了鲜茶叶的绿色格调。常饮绿茶能防癌，降脂和减肥，对吸烟者也可减轻其受到的尼古丁伤害。绿茶是未经发酵制成的茶，保留了鲜叶的天然物质，含有的茶多酚、儿茶素、叶绿素、咖啡碱、氨基酸、维生素等营养成分也较多。绿茶中的这些天然营养成份对防衰老、防癌、抗癌、杀菌、消炎等具有特殊效果，是其他茶类所不及的。绿茶是以适宜茶树新梢为原料，经杀青、揉捻、干燥等典型工艺过程制成的茶叶。其干茶色泽和冲泡后的茶汤、叶底以绿色为主调，故名绿茶。绿茶是将采摘来的鲜叶先经高温杀青，杀灭了各种氧化酶，保持了茶叶绿色，然后经揉捻、干燥而制成，清汤绿叶是绿茶品质的共同特点。中国生产绿茶的范围极为广泛，河南、贵州、江西、安徽、浙江、江苏、四川、陕西（陕南）、湖南、湖北、广西
500ml	规格 : 注射剂剂型 : 2002-7-10批准日期 : 国药准字H12020564药品类型 : Compound Electrolytes and Glucose Injection MG3英文名称 : 津卫药准字（1994）第002500号
三角	《Triangle》是韩国MBC电视台自2014年5月5日起在月火档播出的亲情剧。由崔完圭编剧，柳哲容导演，金在中、李凡秀、任时完、白珍熙、吴妍秀等主演。该剧讲述了失去父母的三兄弟，从小被迫分开生活了20多年却不知道互相的存在，又因机缘巧合开始寻找对方，在此过程中发生的关于爱情与成功的故事。
手柄	手柄是一种机械配件，方便工人操作机械。机械附件行业手柄有主要有两类材质分别是塑料、钢件。钢件有机床加工的和铸件区分。塑料手柄有热固性塑料和热塑性塑料之分。
床品	床品是家纺的重要组成部分，按照中国家纺协会的分类，包括：床品类，窗帘类，洗漱厨房纺织品类，家具类纺织类（靠垫、座垫）等。其中床品类别占据家纺行业第一位，产值占中国家纺业1/3以上，2004年达到1000亿人民币；2006年产值在2500亿元左右，包括床单、被子、枕头等产品。在中国，床品业又称为寝装业，或者叫寝具业、卧具业及室内软装饰业，不过目前多数行业人士还是习惯使用家纺行业的大概念。床品主要包括：枕芯、被褥、床垫、枕套、被套等。
女式	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
运动套装	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
花架	用刚性材料构成一定形状的格架供攀缘植物攀附的园林设施，又称棚架、绿廊。花架可作遮荫休息之用，并可点缀园景。花架设计要了解所配置植物的原产地和生长习性，以创造适宜于植物生长的条件和造型的要求。现在的花架，有两方面作用。一方面供人歇足休息、欣赏风景；一方面创造攀援植物生长的条件。因此可以说花架是最接近于自然的园林小品了。
无痕	广播剧网络配音CV，广播剧剧团星之声中文配音组成员，声音特点：温和男青年音，属性：正直、略呆萌、有时略二。
眼镜	眼镜是镶嵌在框架内的透镜镜片，戴在眼睛前方，以改善视力、保护眼睛或作装饰用途。镜可矫正多种视力问题，包括近视、远视、散光、老花或斜视、弱视等。眼镜由镜片、镜架组成。分近视眼镜、远视眼镜、老花镜及散光眼镜、平光眼镜、电脑护目镜、护目镜、泳镜、夜视镜、电竞游戏护目镜、电竞护目镜、风镜、墨镜、玩具眼镜、太阳眼镜15种。亦有特制眼镜供观看3D立体影像或虚拟真实影像。眼镜的其他种类包括护目镜，太阳镜，游泳镜等，为眼睛提供各种保护。现代的眼镜，通常在镜片中间设有鼻托，及在左右两臂搁在耳朵上的位置设有软垫。爱美或不习惯佩戴眼镜的人，可以选择以隐形眼镜矫正视力。虽然近年隐形眼镜及激光矫视手术越来越普及，但佩戴眼镜仍然是安全有效的矫正视力工具。
真皮沙发	真皮沙发属于沙发的一种，真皮沙发其实是个泛称，牛皮、猪皮、马皮、驴皮都可以用作沙发原料。真皮有天然毛孔和皮纹，手感丰满、柔软，富有弹性，所以真皮沙发也备受人们喜爱。
生日	生日，顾名思义是指人出生之日，也是每年满周岁的那一天。但有些地方的民俗认为，这同时也是母亲的“受难日”。因为以前的科技不像现在日新月异，那时的母亲生孩子，有“一只脚在棺材里，一只脚在棺材外”一说。所以，他们觉得在那天，应该以孝敬母亲为主。
松紧	松紧，指松或紧的程度。如：宽严松紧要适可而止。
浓香型	中国产白酒的香型之一。采用老窖位发酵生香基地，窖愈老，窖泥中的酿酒微生物愈多，生产的酒愈好。浓香型白酒其酒味芳香浓郁，绵柔甘烈，香味协调，绵甘适口，回味悠长。浓香型白酒：窖香浓郁，口味丰满，入口绵甜干净，纯正。如以泸州特曲、五粮液、剑南春、全兴大曲、沱牌曲酒为代表的四川派，以洋河、双沟、古井、宋河粮液百年皖酒为代表的纯浓派。
浪漫	广义上的浪漫，意为纵情；浪漫；富有诗意，充满幻想；不拘小节（情侣关系而言）。此词来自于西方词语Romantic音译的演变而成，其作用就是为了翻译Romantic。至于说出自宋·苏轼《与孟震同游常州僧舍》诗之一：“年来转觉此生浮，又作三吴浪漫游。”中的“浪漫”二字，并不是一个词语，而是两个并列字，诗中此二字的意义与现在浪漫一词的意思不同。狭义上的浪漫来源于19世纪20年代至19世纪末诞生于西欧的浪漫主义，这里的浪漫特指对现实世界感到不满，对未来充满期望和追求，理想远大，不甘堕落的个人英雄主义情怀。
纸巾盒	纸巾盒是指盒体顶面开设有取纸口并设有用于盖住取纸口的封盖。
oversize	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
墙面	墙体的表面，一般在室内装修时提到比较多。墙面装修处理一般是刷漆或者粘壁纸。
迪卡侬	迪卡侬来自于法国，是体育用品零售商，由米歇尔·雷勒克于1976年创立，第一家店开在法国里尔附近的小村庄恩洛斯。2003年迪卡侬进入中国，至目前已遍布全国46座城市178家商场。提供连锁运动用品经营以至体育全产业链的支持，并有丰富的自有品牌产品阵线，并根据运动类别的不同，分为20种不同名称品牌。对于初学者和专业运动者，迪卡侬都能提供运动服饰、装备以及各种创意类运动产品，其全产业链掌控的模式让其产品具有较高的性价比。2018年12月，世界品牌实验室发布《2018世界品牌500强》榜单，迪卡侬排名第484。
洗漱	洗脸漱口，对面部器官的清洗。指个人卫生的统称，现在也有好多内容，包括化妆、卸妆、洗头、贴面膜、喷香水等
唇膏	唇膏是最原始、最常见的口红的一种，一般是固体，质地比唇彩和唇蜜要干和硬。唇膏已成了我国现代女性的常用化妆品。在口唇上涂一层恰到好处的唇膏能使人显得格外娇媚。色彩饱和度高，颜色遮盖力强，而且由于是固体一般不容易由于唇纹过深而外溢，常用它来修饰唇形、唇色。
旅行包	旅行包又叫旅游包，顾名思义就是指为旅行或者旅游而准备的一类包。是在离开家乡去远行，或做事或游览，或者投身于大自然中享受着阳光雨露时，可以将日常用品或者想带在身边的任何东西装起来以便于携带方便的一类包。旅行包可分为背包、提包和拖拉包。 在选择时，要考虑容积和款式，此外还应考虑使用者的身材和体形以及负重能力等因素，
化妆	《化妆》是韩国人气歌手金在中演唱的一首歌曲。这首歌的原唱是日本著名歌姬中岛美雪，金在中在个人日本巡回Fan Meeting上翻唱日语版本后将它重新编曲，并在原作基础上自己重新填词，完成了韩语版本。此曲收录于2014年01月20日发行的金在中Repakege个人solo专辑《WWW卸妆》中，是该专辑的主打歌之一，列于专辑第2位 。
水杯子	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
抽屉	抽屉（ chōu ti）桌子、柜子等家具中放东西用的匣子，有底，没盖，可以抽出来推进去。
男生	男，是指一名雄性人类，与雌性人类，也就是女性相对。男这个名词是用来表示生物学上的性别划分，正式只适用于称呼人类，但有时侯也会用作称呼其他生物。在汉语中，男解作：⒈、阳性的人，与「女」相对。⒉、指儿子，如长男。3、古代爵位的第五等。男生，原指还处于受教育阶段的男性学生。后来“男生”的含义则引申到所有年轻的男性。
护肤	护肤在现代已经成为一门学问，人们受皮肤问题困扰不再盲目地去商店买各种化妆品来试，而是由皮肤科医生开出处方，提供针对性的护肤建议。随着人们对健康的追求日益高涨和皮肤医学的高速发展，带有更高安全性和有效性的医学护肤品已经成为不可阻挡的一股潮流。伴随更多的女性开始注重护肤品的质量和安全性，专业人员对皮肤及其附属器的结构和生理作用研究和认识更深入，对化妆品的研究更专业化，性能更具有针对性、可靠性和竞争力。
毛线	毛线：羊毛纺成的纱毛线：漫画《堕玄师》玄兽
200g	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
烤箱	烤箱是一种密封的用来烤食物或烘干产品的电器，分为家用电器和工业烤箱。 家用烤箱可以用来加工一些面食。 工业烤箱，为工业上用来烘干产品的一种设备，有电的、有瓦斯的，又叫烤炉、烘干箱等。电烤箱是利用电热元件所发出的辐射热来烘烤食品的电热器具，利用它我们可以制作烤鸡、烤鸭、烘烤面包、糕点等。根据烘烤食品的不同需要，电烤箱的温度一般可在50-250℃范围内调节。
棉裤	棉裤指中间絮了棉花的裤子，包括婴儿的包脚款式，儿童的簸箕裤，成人的修身松紧带棉裤和老人的分门襟棉裤。
男青年	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
时钟	时钟是生活中常用的一种计时器，人们通过它来记录时间。至今为止，在中国历史上有留下记载的四代计时器分别为：日晷、沙漏、机械钟、石英钟。
安全	安全是一个汉语词语，拼音是ān quán，通常指人没有受到威胁、危险、危害、损失。人类的整体与生存环境资源的和谐相处，互相不伤害，不存在危险的隐患，是免除了不可接受的损害风险的状态。安全是在人类生产过程中，将系统的运行状态对人类的生命、财产、环境可能产生的损害控制在人类能接受水平以下的状态。中国当前的国家安全观：政治安全、国土安全、军事安全、经济安全、文化安全、社会安全、科
坎肩	坎肩，无袖短上衣。传统的坎肩，套在夹衣、毛衣、薄棉衣外面，有棉坎肩、皮坎肩等，增强肩部御寒，多无领。后来的西服坎肩、时装坎肩，紧身无领，又称马甲，名称来源于骑兵甲胄。
短外套	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
套件	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
床上	床上是立方网推出的一款睡前导读应用，现已推出Android 4.8.0版。用户可以用它听音乐，读精品文章，赠送精美礼品给自己喜欢的用户，与同城用户聊天，分享自己的照片给其他用户，或者加入群聊和全国的床上用户一起聊天。床上群聊中会不定期推出美女话题主持人引导群聊氛围。
飞利浦	飞利浦，1891年成立于荷兰，主要生产照明、家庭电器、医疗系统方面的产品。飞利浦公司，2007年全球员工已达128,100人，在全球28个国家有生产基地，在150个国家设有销售机构，拥有8万项专利，实力超群。2011年7月11日，飞利浦宣布收购奔腾电器（上海）有限公司，金额约25亿元。2011年10月17日，飞利浦电子发布了第三季度财报，第三季度净利润同比下滑85.9%；同时宣布，飞利浦将在全球范围内裁员4500人。2013年1月底，飞利浦消费电子业务已全部剥离，将聚焦优质生活，医疗和照明设备行业。北京时间2014年12月17日，飞利浦宣布，将以12亿美元收购美国医疗设备制造商Volcano公司。2018年7月19日，《财富》世界500强排行榜发布，飞利浦位列423位。2018年12月18日，世界品牌实验室编制的《2018世界品牌500强》揭晓，飞利浦排名第53位。
煲汤	餐桌上有碗热气腾腾的鲜汤，常使人垂涎欲滴，特别是在冬春季，汤既能助人取暖，又能使人的胃口大开。 煲汤往往选择富含蛋白质的动物原料，最好用牛、羊、猪骨和鸡、鸭骨等。其做法是：先把原料洗净，入锅后一次加足冷水，用旺火煮沸，再改用小火，持续20分钟，撇沫，加姜和料酒等调料，待水再沸后用中火保持沸腾3～4小时，使原料里的蛋白质更多地溶解， 浓汤呈乳白色，冷却后能凝固可视为汤熬到家了。
墙纸	墙纸也称为壁纸，是一种用于裱糊墙面的室内装修材料，广泛用于住宅、办公室、宾馆、酒店的室内装修等。材质不局限于纸，也包含其他材料。歧义：墙纸容易和桌面壁纸混淆，后者是设置于电脑桌面的图片。因为具有色彩多样、图案丰富、豪华气派、安全环保、施工方便、价格适宜等多种其它室内装饰材料所无法比拟的特点，故在欧美、日本等发达国家和地区得到相当程度的普及。壁纸分为很多类，如覆膜壁纸、涂布壁纸、压花壁纸等。通常用漂白化学木浆生产原纸，再经不同工序的加工处理，如涂布、印刷、压纹或表面覆塑，最后经裁切、包装后出厂。具有一定的强度、韧度、美观的外表和良好的抗水性能。
女表	女表，读音是nǚ biǎo，汉语词语，释义是女子的表率。
套头衫	套头衫就是就是穿的时候直接从头上套进去的那种衣服，前面没扣子没有拉链。 套头衫青春洋溢的风格受到所有时尚MM的一致追捧。
儿童床	儿童床又名摇篮床，指儿童使用的床，特点是安全实用，儿童床有传统的、经典的，现代的和更流行的。儿童床跟多的是按年龄段划分类别。儿童床有功能多的、单一的，摇床、摇椅能来回变，功能越多结构越复杂。如果功能多，从一种功能转换成另一种功能装卸时要注意，安装到位；单一功能只有一条，安装好了，永远不动了，就没有危险。
吊坠	吊坠，一种首饰，配戴在脖子上的饰品，多为金属制，特别是不锈钢制和银制，也有矿石、水晶、玉石等制的，主要是用于祈求平安，镇定心志和美观。
名媛	名媛是一个源自古代、在20世纪三十年代开始流行的一个称谓，一般是指那些出身名门、有才有貌、又经常出入时尚社交场的美女。现代名媛亦有时尚界及名人界之有名及社会有钱人士，包括归国富人或归国子女，或是凭自己努力所赚取的地位。但对于明星与名流的关系上有争议，在电视节目《大学生了没》中三位名流嘉宾曾讨论不是所有演艺圈人员都可称之为名流。中文的名流定义和英文Celebrities可能不完全为同一类意思，亦有花卉的意思。名流本来是指“名士”一类的人物，即“名士之流”，女性则称为名媛。
战术	指导和进行战斗的方法。主要包括：战斗基本原则以及战斗部署、协同动作、战斗指挥、战斗行动、战斗保障、后勤保障和技术保障等。按基本战斗类型分为进攻战术和防御战术；按参加战斗的军种、兵种分为军种战术、兵种战术和合同战术；按战斗规模分为兵团战术、部队战术和分队战术。
干果	干果，即果实果皮成熟后为干燥状态的果子。干果又分为裂果和闭果，它们大多含有丰富的蛋白质，维生素，脂质等。我们生活中常见的干果有很多，例如板栗、锥栗、霹雳果、榛子、腰果、核桃、瓜子、松仁、杏仁、白果、开心果、碧根果、沙漠果、榧子、白瓜子、南瓜子、花生、巴旦木 、夏威夷果等。
一字	一字，看似简单，但在佛教、中医、词语中都有不同的意思。如：佛教，一字者，本无名无字。中医，一字是指一个单位。总之，“一”字在不同地方有多种不同的解释。惟佛如来究尽明了。经云。法惟一字。所谓无字。是也。
提花	提花，就是纺织物以经线﹑纬线交错组成的凹凸花纹。纺织品类别众多，提花面料为其中一大类别。提花面料又可分为家纺用料和时装面料，早在古丝绸之路，中国丝绸就以提花织造的方式名扬世界。绣花只是一种装饰，一般绣花的都是平纹加密的布料，而提花的算是比较高档些的了，能够提出图案来对棉纱的要求就高，质量次的棉纱也无法提出成型的图案，提花也是分平纹提花和斜纹提花。
防尘	防尘 ，读音fáng chén，汉语词语，基本意思为不透尘埃的;紧得灰尘不能进入的。
多肉	多肉植物（succulent plant）是指植物的根、茎、叶三种营养器官中叶是肥厚多汁并且具备储藏大量水分功能的植物，也称“多浆植物”。其至少具有一种肉质组织，这种组织是一种活组织，除其他功能外，它能储藏可利用的水，在土壤含水状况恶化、植物根系不能再从土壤中吸收和提供必要的水分时，它能使植物暂时脱离外界水分供应而独立生存。据粗略统计，全世界共有多肉植物一万余种，在分类上隶属100余科。
爽肤水	爽肤水有的含有微量的酒精，有些是纯植物配方的。 爽肤水它的作用就在于再次清洁以恢复肌肤表面的酸碱值，并调理角质层，使肌肤更好地吸收，并为使用保养品作准备。洗完脸之后，使用爽肤水，可以迅速补充水分。专家建议油性皮肤使用紧肤水，健康皮肤使用爽肤水，干性皮肤使用柔肤水，混合皮肤T区使用紧肤水，敏感皮肤选用敏感水、修复水。
商用	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
健身器材	健身器材常以训练功能多少来分为单功能和综合型多功能两大类，常用的有划船器、健美车、健步机、跑步机、美腰机等。
筷子	筷子，是指中国常用的饮食工具，通常由竹、木、骨、瓷、象牙、金属、塑料等材料制作。是世界上常用餐具之一，中华饮食文化的标志之一，发明于中国，后传至朝鲜、日本、越南等汉字文化圈。中国人习惯用筷子，而非洲、中东、印度尼西亚及印度次大陆等地区的人则用手指去抓取。中国目前发现的最早筷子是河南省安阳市殷墟出土的铜筷子。《韩非子·喻老》言：“昔者纣为象箸，而箕子怖。”纣王为商朝末期的国君，可见3000多年前的中国就已经出现象牙筷子。
奶茶	奶茶原为蒙古高原游牧民族的日常饮品，至今最少已有千年历史。蒙古高原是游牧民族的故乡，也是奶茶的发源地，最初最正宗的就是蒙古奶茶。自元朝起传遍世界各地，目前在大中华地区，中亚国家，印度，阿拉伯，英国，马来西亚，新加坡等地区都有不同种类奶茶流行。蒙古高原和中亚地区的奶茶千百年来从未改变，至今仍然是日常饮用及待客的必备饮料。其他地区则有不同口味的奶茶，如印度奶茶以加入玛萨拉的特殊香料闻名；发源于香港的丝袜奶茶和发源于台湾的珍珠奶茶也独具特色。奶茶兼具
红茶	《红茶》是葛雨晴与钟晓仪共同创作演绎的一首歌曲，发行于2015-12-01日。
男子	男子，即男性的成年人。出自《礼记·曲礼上》。
旅行箱	旅行箱，（suitcase）是箱包中的一类。它包括有箱包体、伸缩拉杆和箱包底轮，因其使用方便而受到广泛使用。旅行箱有着漫长的历史。旅行箱，从仅供容纳衣物的木箱、大皮箱，到如今形态各异的便携式手提箱、拉杆箱，人们手中的旅行箱在不断演进。
英国	大不列颠及北爱尔兰联合王国（United Kingdom of Great Britain and Northern Ireland），简称联合王国（United Kingdom），通称英国。本土位于欧洲大陆西北面的不列颠群岛，被北海、英吉利海峡、凯尔特海、爱尔兰海和大西洋包围。英国是由大不列颠岛上的英格兰、威尔士和苏格兰以及爱尔兰岛东北部的北爱尔兰以及一系列附属岛屿共同组成的一个西欧岛国。除本土之外，其还拥有十四个海外领地，总人口超过6600万，其中以英格兰人（盎格鲁-撒克逊人）为
湿巾	湿巾是用来擦拭皮肤的湿润的纸巾。市场上的湿巾大致可以分为两类：一类是本身已经被消毒，但不能消毒其他物品，里面含有护肤的成分，只能做皮肤湿润保养的。另一类是不仅本身被消毒，而且对别的物品也可起到消毒作用的消毒湿巾，可以用做皮肤擦伤、划伤等的消毒或杀菌。选购湿巾的时候一定要看清湿巾纸的功能和定位。
午睡	午睡，是一个汉语词汇。由于我们体内的生物节律在起作用。而午睡恰恰是人体保护生物节律的一种方法。
拉杆箱	拉杆箱指具有拉杆和滚轮的行李箱。因其使用方便而广泛使用。同时，拉杆箱也因箱子置一拉杆，有单管拉杆及双管拉杆之分，拉杆的管亦有方管和圆管之分，以方便行走时拖着，大大减轻负担。拉杆箱可以手提也可以拖动，我们平时所用的拉杆箱的轮子基本都位于箱子底部，而现代人又设计出了一款新形态的拉杆箱，将箱子设计成了圆筒的造型，轮子则整个外包在箱子外侧，这样的滚筒设计使得这款拉杆箱可以更好的适应不同的地形，如直接拉着箱子就可以轻松上下楼梯。2012年主要以布箱、ABS硬箱、皮箱、PC等为主要材质，并将使用性分为定向轮、万向轮以及最新的可拆卸万向轮拉杆箱三大类。
二合一	《二合一》是gwf小龙飞写的网络小说连载于起点中文网。
餐边	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
厕所	厕所泛指由人类建造专供人类（或其他特指生物，如家畜）进行生理排泄和放置（处理）排泄物的地方。 人类使用的厕所大多有男厕女厕之分，不过随着科技的发展，男女共用的厕所，也问世了。厕所的名称有很多，有的地方叫窖，有的叫茅房，文雅一点的叫洗手间、盥洗室。潮汕地区则延续唐朝时的叫法称之为“东司”或者“东厮”。厕所也有外文名字，有叫Toilet，有叫Men'room的。上厕所也有很多种叫法，古代叫更衣，后来叫解手，现代叫方便，叫如厕，叫出恭，上洗手间。通俗的叫大便小便，文雅的叫洗手。西方人把上厕所说成是摘花，日本男人在野外方便叫打猎。上厕所一般分为蹲便和坐便两种形式，蹲厕以亚洲人居多，所以叫亚洲蹲，坐便现在也成为中国人家庭的标配了。
美白	因为“一白遮三丑”的传统美观念，女性对于美白有执着的追求。各类美白产品与美白方法层出不穷，请谨慎判断，选用适合的美白手段。
新货	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
